name,building
,house
,house
,house
,yes
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,yes
,yes
,house
,house
,house
,house
,yes
,house
,house
,house
,house
,yes
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,yes
,house
,house
,house
,house
,house
,house
,house
,house
,yes
,house
,house
,house
,house
,house
,yes
,house
,house
,yes
,house
,house
,house
,house
,yes
,house
,house
,house
,house
,house
,house
,house
,house
,house
,yes
,yes
,house
,yes
,yes
,house
,house
,yes
,yes
,yes
,yes
,house
,house
,garage
,house
,house
,yes
,house
,house
,yes
,house
,yes
,house
,house
,house
,house
,house
,cabin
,garage
,barn
,house
,house
,house
,shed
,barn
,barn
,shed
,garage
Historical Society Of Princeton,yes
,garage
,shed
,shed
,barn
,house
,house
,yes
,house
,house
,house
,yes
,house
,yes
,house
,yes
,yes
,yes
,yes
,yes
,yes
,house
,yes
,yes
,yes
,house
,yes
,yes
,yes
,house
,yes
,yes
,yes
,yes
,house
,house
,yes
,yes
,yes
,yes
,house
,house
,house
,house
,house
,house
,yes
,yes
,house
,yes
,yes
,yes
,yes
,house
,house
,house
,house
,yes
,school
,school
,school
Princeton Friends Meeting,yes
,house
Clarke House,house
,yes
,yes
,house
,garage
,house
,yes
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,yes
,yes
,yes
,yes
,yes
,house
,garage
,house
,house
,house
,house
,house
,house
,house
,house
,garage
,shed
,house
,house
,house
,house
,yes
,yes
,yes
,yes
,yes
,yes
,yes
,yes
,house
,yes
,house
,house
,house
,garage
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,shed
,house
,house
,house
,house
,house
,yes
,house
,house
,yes
,yes
,yes
,yes
,house
,house
,yes
,house
,yes
,house
,house
,house
,yes
,yes
,yes
,yes
,yes
,house
,house
,house
,garage
,house
,house
,house
,house
,yes
,yes
,yes
,yes
,yes
,yes
,yes
,yes
,yes
,yes
,yes
,yes
,yes
,house
,yes
,yes
Athletic Center,school
Fine Arts Center,school
,yes
Middle School,school
Academic Center,school
,yes
Modular Office Space,university
Simonyi Hall,university
Wolfensohn Hall,university
Bloomberg Hall,university
Rubenstein Commons,university
,apartments
,apartments
,garage
,house
,house
Historical Studies-Social Sciences Library,university
Building D,yes
