name,amenity,lat,lon
Metro North,restaurant,40.33471,-74.65398
Roots Ocean Prime,restaurant,40.34333,-74.65944
Starbucks,cafe,40.34993,-74.65946
Tacoria,fast_food,40.35003,-74.65912
Maruichi Japanese Food & Deli,restaurant,40.35026,-74.65827
fruita bowl,fast_food,40.35036,-74.65786
PJ's Pancake House,restaurant,40.35041,-74.65773
Alfalfa,fast_food,40.35047,-74.65806
J S Foodies,fast_food,40.35051,-74.65898
Say Cheez,fast_food,40.35064,-74.65554
Nassau Sushi,restaurant,40.3507,-74.65575
Fruity Yogurt,ice_cream,40.35073,-74.6565
The Mint,restaurant,40.35075,-74.65666
Thomas Sweet Ice Cream,ice_cream,40.35075,-74.65563
Thai delight,restaurant,40.35095,-74.65594
Aspendos Mediterranean Cuisine,restaurant,40.351,-74.6557
Taste of Mexico,restaurant,40.3511,-74.65603
illy Coffee At Earth's End Princeton,cafe,40.35118,-74.65848
Ellinikon,cafe,40.3513,-74.65481
Ficus,restaurant,40.35177,-74.6523
Thai Village,restaurant,40.35183,-74.65214
Ramen stop,restaurant,40.35216,-74.65124
Le Kiosk,restaurant,40.35217,-74.6509
Hoagie Haven,fast_food,40.3522,-74.6519
Fresh Ó Tea,cafe,40.3522,-74.65175
Pizza Den,restaurant,40.35222,-74.65183
BurgerRunn,fast_food,40.35228,-74.65169
Tiger Noodles,restaurant,40.35238,-74.65129
Ivy Inn,pub,40.35238,-74.65155
Small World Coffee,cafe,40.35238,-74.6512
Efes Mediterranean Grill,restaurant,40.35182,-74.65219
锦里 SC house,restaurant,40.35214,-74.65217
Nomad,restaurant,40.36355,-74.65214
Blue Point Grill,restaurant,40.35245,-74.65109
Amazing Thai,restaurant,40.35251,-74.65086
North End Bistro,restaurant,40.35431,-74.64506
Chopt,fast_food,40.36247,-74.65069
Wonder Pho,restaurant,40.36261,-74.65057
Mi Espana,restaurant,40.36277,-74.65109
Cross Culture,restaurant,40.36283,-74.6509
Dunkin',fast_food,40.36284,-74.65114
Pizza Star,restaurant,40.36293,-74.65025
Rita's Italian Ice,ice_cream,40.36304,-74.64991
Pastiamo,restaurant,40.36343,-74.65124
Starbucks,cafe,40.36391,-74.65181
The Blue Bears,restaurant,40.36391,-74.65063
The Dinky Bar & Kitchen,bar,40.3439,-74.65964
Kung Fu Tea,cafe,40.34968,-74.66034
Proof,fast_food,40.34972,-74.6602
MTea Sushi & Dessert,restaurant,40.34973,-74.66013
Agricola Eatery,restaurant,40.35012,-74.65981
Small World Coffee,cafe,40.35014,-74.66016
Arlee's Raw Blends,fast_food,40.35022,-74.66016
Jules Thin Crust,restaurant,40.35037,-74.66022
Mamoun's Falafel,fast_food,40.35042,-74.66024
Olives,restaurant,40.35049,-74.66028
Jammin' Crepes,restaurant,40.34897,-74.66289
Sakrid Coffee Roasters,cafe,40.34905,-74.66263
Ajihei,restaurant,40.34957,-74.6626
Chennai Chimney,restaurant,40.34971,-74.66265
Rojo's Roastery,cafe,40.34983,-74.66183
The Bent Spoon,ice_cream,40.34988,-74.66185
Winberie's,restaurant,40.34989,-74.66088
Triumph Brewing Company,restaurant,40.35019,-74.66102
Yankee Doodle Tap Room,restaurant,40.35054,-74.66174
Teresa's Cafe & Wine Bar,cafe,40.35062,-74.66086
La Mezzaluna,restaurant,40.3506,-74.66
Alchemist & Barrister,pub,40.35062,-74.66034
Junbi,cafe,40.35066,-74.66002
Purinsu Ramen,restaurant,40.35072,-74.66038
Tico's Eatery & Juice Bar,cafe,40.35087,-74.6599
Ayat,restaurant,40.35094,-74.65963
Lan Ramen,restaurant,40.35101,-74.66074
The Baked Bear,ice_cream,40.35101,-74.66019
Xi Bei Cuisine,restaurant,40.35106,-74.66021
Chuck's Spring Street Cafe,fast_food,40.35112,-74.65971
Kristine,restaurant,40.35125,-74.65993
Witherspoon Grill,restaurant,40.35136,-74.65996
Jammin’ Community Cafe,cafe,40.35151,-74.66031
maman,cafe,40.35082,-74.66234
Princeton Soup & Sandwich Company,fast_food,40.35085,-74.66126
Playa Bowls,fast_food,40.35096,-74.66099
Mediterra,restaurant,40.35106,-74.66219
Halo Pub,ice_cream,40.35118,-74.66097
Mistral,restaurant,40.35146,-74.66088
elements,restaurant,40.35148,-74.66075
Hunan,restaurant,40.35398,-74.6615
Local Greek,restaurant,40.35597,-74.66458
Tortuga's Mexican Village,restaurant,40.3563,-74.66478
The Meeting House,restaurant,40.35731,-74.66272
Conte's Pizza & Bar,restaurant,40.35966,-74.66348
Domino's,fast_food,40.36465,-74.66396
